NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT13,WT14,WT16,WT18,WT22
"SEATTLE TACOMA AIRPORT, WA US",13 06 2013,2.6,0,0,0,14.8,21.1,11.7,6.7,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",14 06 2013,3.7,0,0,0,15.1,20,12.2,7.2,9.8,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",15 06 2013,2.9,0,0,0,16.7,25.6,10,6.3,7.6,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",16 06 2013,3.4,0,0,0,18.4,23.9,12.8,6.3,9.8,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",17 06 2013,3,0,0,0,18.3,25.6,13.9,9.4,10.7,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",18 06 2013,3.4,0.3,0,0,17.7,23.3,13.3,8.1,10.3,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",19 06 2013,3.7,0,0,0,16.3,20,12.8,6.7,8.9,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",20 06 2013,5,3,0,0,15.4,17.2,12.8,8.9,11.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",21 06 2013,1.5,0.3,0,0,14.4,20.6,12.2,4.5,6.3,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",22 06 2013,1.7,0,0,0,17.4,25.6,11.7,4.5,7.2,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",23 06 2013,2.1,7.9,0,0,19.6,22.2,15,5.4,8.1,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",24 06 2013,3.7,4.8,0,0,17.2,21.1,13.9,7.2,9.4,1,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",25 06 2013,2.8,9.9,0,0,17.6,23.3,14.4,13.4,17,,,,,,,,,,,,,
"SEATTLE TACOMA AIRPORT, WA US",26 06 2013,2.3,2,0,0,17.3,22.2,15,6.7,10.3,1,,,,,,,,,,,,
